기간,자치구,행정동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2020,강남구,삼성2동,13,3,0,0,4,3,0,3
2020,강남구,대치1동,6,2,0,0,4,0,0,0
2020,강남구,대치4동,10,2,0,0,3,2,0,3
2020,강남구,역삼1동,13,1,0,0,2,1,0,9
2020,강남구,역삼2동,12,2,0,0,8,1,0,1
2020,강남구,도곡1동,6,1,0,0,2,3,0,0
2020,강남구,도곡2동,4,2,0,0,1,1,0,0
2020,강남구,개포4동,14,4,0,0,5,4,0,1
2020,강남구,일원본동,10,2,0,0,3,4,0,1
2020,강남구,일원1동,9,2,0,0,4,3,0,0
2020,강남구,일원2동,10,3,0,0,1,5,0,1
2020,강남구,수서동,10,4,0,0,3,2,0,1
2020,강남구,세곡동,34,14,0,0,6,13,1,0
2020,강남구,압구정동,5,3,0,0,0,1,0,1
2020,강남구,청담동,8,3,0,0,2,1,0,2
2020,강남구,대치2동,9,3,0,0,0,3,0,3
2020,강남구,개포2동,6,2,0,0,0,4,0,0
2020,송파구,풍납1동,7,2,0,0,3,2,0,0
2020,송파구,풍납2동,19,6,0,0,5,6,0,2
2020,송파구,거여1동,8,4,1,0,3,0,0,0
2020,송파구,거여2동,15,7,0,0,3,5,0,0
2020,송파구,마천1동,8,2,0,0,3,3,0,0
2020,송파구,마천2동,11,2,0,1,6,2,0,0
2020,송파구,방이1동,6,0,0,0,5,1,0,0
2020,송파구,방이2동,15,3,0,0,5,6,0,1
2020,송파구,오륜동,1,0,0,0,0,0,0,1
2020,송파구,오금동,21,6,0,0,6,9,0,0
2020,송파구,송파1동,13,3,0,0,4,5,0,1
2020,송파구,송파2동,8,1,0,0,4,3,0,0
2020,송파구,석촌동,16,4,0,0,10,2,0,0
2020,송파구,삼전동,16,2,0,1,12,1,0,0
2020,송파구,가락본동,16,6,0,0,4,6,0,0
2020,송파구,가락1동,15,9,0,0,0,5,0,1
2020,송파구,가락2동,21,2,0,0,14,4,0,1
2020,송파구,문정1동,11,2,0,0,6,3,0,0
2020,송파구,문정2동,13,3,0,0,1,4,0,5
2020,송파구,잠실본동,9,2,0,1,5,1,0,0
2020,송파구,잠실4동,21,2,0,0,2,17,0,0
2020,송파구,잠실6동,15,1,0,0,0,11,0,3
2020,송파구,잠실2동,14,4,0,0,0,10,0,0
2020,송파구,잠실3동,19,1,0,0,2,15,0,1
2020,송파구,장지동,27,12,0,0,6,8,1,0
2020,송파구,위례동,28,13,0,0,1,13,0,1
2020,강동구,강일동,42,13,0,0,7,20,0,2
2020,강동구,상일동,12,7,0,0,2,3,0,0
2020,강동구,명일1동,15,4,0,0,3,8,0,0
2020,강동구,명일2동,9,1,0,0,3,4,0,1
2020,강동구,고덕1동,11,3,0,0,3,5,0,0
2020,강동구,고덕2동,11,5,0,0,2,4,0,0
2020,강동구,암사2동,14,3,0,0,3,8,0,0
2020,강동구,암사3동,10,4,0,0,1,4,1,0
2020,강동구,천호1동,19,7,0,0,6,6,0,0
2020,강동구,천호3동,12,3,0,0,5,4,0,0
2020,강동구,성내1동,14,5,0,0,4,4,0,1
2020,강동구,성내2동,12,2,0,0,7,3,0,0
2020,강동구,성내3동,12,4,0,0,5,3,0,0
2020,강동구,둔촌2동,17,5,1,0,3,8,0,0
2020,강동구,암사1동,18,3,0,1,11,3,0,0
2020,강동구,천호2동,9,4,0,0,4,0,0,1
2020,강동구,길동,23,6,0,1,9,7,0,0
