,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,기간,자치구,동,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
1,기간,자치구,동,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
270,2020,강서구,가양2동,352,282,,,39,31,,,240,191,,,21,28,,
271,2020,강서구,가양3동,347,111,,,144,92,,,247,83,,,103,61,,
272,2020,강서구,발산1동,"1,265",375,99,,473,288,,30,935,330,47,,347,196,,15
273,2020,강서구,공항동,948,440,173,,,250,,85,782,389,154,,,179,,60
274,2020,강서구,방화1동,"1,391",632,,,356,403,,,"1,126",578,,,244,304,,
275,2020,강서구,방화2동,507,189,,,224,94,,,441,167,,,208,66,,
276,2020,강서구,방화3동,680,172,,,422,86,,,510,151,,,280,79,,
277,2020,강서구,화곡1동,"1,156",275,,,769,112,,,907,235,,,565,107,,
278,2020,강서구,우장산동,"1,075",343,,,382,331,,19,761,259,,,219,273,,10
279,2020,구로구,소계,"12,549","4,902",299,374,"4,227","2,192",78,477,"10,293","4,370",250,311,"3,220","1,767",67,308
280,2020,구로구,신도림동,995,251,,,445,299,,,859,246,,,374,239,,
281,2020,구로구,구로1동,721,236,,63,27,308,,87,616,223,,63,27,243,,60
282,2020,구로구,구로3동,789,359,,153,82,97,,98,634,325,,126,53,70,,60
283,2020,구로구,구로4동,586,312,,,118,156,,,508,276,,,102,130,,
284,2020,구로구,구로5동,890,238,,98,400,154,,,751,215,,87,306,143,,
285,2020,구로구,고척1동,718,195,146,,284,93,,,590,184,124,,198,84,,
286,2020,구로구,고척2동,925,193,74,60,484,114,,,671,177,57,35,324,78,,
287,2020,구로구,개봉2동,800,346,,,260,194,,,669,312,,,190,167,,
288,2020,구로구,개봉3동,638,200,,,399,39,,,552,188,,,337,27,,
289,2020,구로구,오류1동,709,305,,,163,94,19,128,509,248,,,98,88,12,63
