,기간,자치구,동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
306,2020,영등포구,여의동,32,3,-,-,-,4,-,25
307,2020,영등포구,당산1동,14,5,-,-,4,4,-,1
308,2020,영등포구,당산2동,20,8,-,-,4,7,-,1
309,2020,영등포구,양평1동,14,4,-,-,4,6,-,-
310,2020,영등포구,양평2동,20,6,1,1,-,8,-,4
311,2020,영등포구,신길1동,8,3,-,-,2,3,-,-
312,2020,영등포구,신길3동,10,3,-,-,1,6,-,-
313,2020,영등포구,신길4동,6,3,-,-,3,-,-,-
314,2020,영등포구,신길5동,3,3,-,-,-,-,-,-
315,2020,영등포구,신길6동,13,5,-,-,4,4,-,-
316,2020,영등포구,신길7동,11,4,-,-,1,5,-,1
317,2020,영등포구,대림1동,9,3,-,-,5,1,-,-
318,2020,영등포구,대림2동,6,2,-,-,3,1,-,-
319,2020,영등포구,대림3동,12,4,-,-,3,5,-,-
320,2020,영등포구,영등포본동,14,4,-,-,3,7,-,-
321,2020,영등포구,영등포동,10,5,-,-,4,1,-,-
322,2020,영등포구,도림동,11,3,1,1,2,4,-,-
323,2020,영등포구,문래동,27,10,-,-,5,10,-,2
324,2020,동작구,소계,206,67,2,2,50,76,1,8
325,2020,동작구,노량진2동,2,1,-,-,-,-,-,1
326,2020,동작구,상도1동,20,7,1,-,5,6,-,1
327,2020,동작구,상도2동,21,7,-,-,5,9,-,-
328,2020,동작구,상도3동,15,3,-,-,8,4,-,-
329,2020,동작구,상도4동,17,4,-,-,5,7,1,-
330,2020,동작구,사당1동,7,2,-,1,3,1,-,-
331,2020,동작구,사당3동,11,6,-,-,2,3,-,-
332,2020,동작구,사당4동,9,2,-,-,4,3,-,-
333,2020,동작구,사당5동,7,3,-,-,1,3,-,-
334,2020,동작구,대방동,16,5,-,-,3,7,-,1
335,2020,동작구,신대방1동,13,3,-,-,4,6,-,-
336,2020,동작구,신대방2동,15,6,-,-,2,4,-,3
337,2020,동작구,흑석동,18,6,-,-,4,6,-,2
338,2020,동작구,노량진1동,18,6,-,1,3,8,-,-
339,2020,동작구,사당2동,17,6,1,-,1,9,-,-
340,2020,관악구,소계,221,84,2,5,59,65,1,5
341,2020,관악구,보라매동,14,4,-,-,8,1,-,1
342,2020,관악구,청림동,17,9,-,-,-,8,-,-
343,2020,관악구,행운동,13,5,-,1,3,4,-,-
344,2020,관악구,낙성대동,9,3,-,1,3,-,-,2
345,2020,관악구,중앙동,2,2,-,-,-,-,-,-
346,2020,관악구,인헌동,10,4,-,-,3,3,-,-
347,2020,관악구,남현동,7,1,-,1,2,2,-,1
348,2020,관악구,서원동,8,5,-,-,2,-,1,-
349,2020,관악구,신원동,7,2,-,-,5,-,-,-
350,2020,관악구,서림동,9,2,1,-,1,5,-,-
351,2020,관악구,신사동,10,4,-,-,4,2,-,-
352,2020,관악구,신림동,3,2,-,-,1,-,-,-
353,2020,관악구,난향동,13,3,-,-,3,7,-,-
354,2020,관악구,조원동,8,4,-,-,2,2,-,-
355,2020,관악구,대학동,6,1,-,1,1,3,-,-
356,2020,관악구,은천동,21,7,-,-,4,10,-,-
357,2020,관악구,성현동,19,5,-,-,3,11,-,-
358,2020,관악구,청룡동,11,6,-,-,3,1,-,1
359,2020,관악구,난곡동,14,5,1,1,5,2,-,-
360,2020,관악구,삼성동,8,5,-,-,1,2,-,-
361,2020,관악구,미성동,12,5,-,-,5,2,-,-
362,2020,서초구,소계,184,83,-,1,31,46,2,21
363,2020,서초구,서초1동,12,4,-,-,1,4,-,3
364,2020,서초구,서초2동,10,4,-,-,2,1,-,3
365,2020,서초구,서초3동,10,3,-,-,2,1,1,3
366,2020,서초구,서초4동,10,6,-,-,2,1,-,1
367,2020,서초구,잠원동,11,4,-,-,1,5,-,1
368,2020,서초구,반포본동,2,2,-,-,-,-,-,-
369,2020,서초구,반포1동,9,5,-,-,3,1,-,-
370,2020,서초구,반포2동,7,4,-,-,2,1,-,-
371,2020,서초구,반포3동,13,5,-,-,1,7,-,-
372,2020,서초구,반포4동,9,4,-,-,1,2,-,2
373,2020,서초구,방배본동,5,3,-,-,1,-,-,1
374,2020,서초구,방배1동,7,2,-,-,1,4,-,-
375,2020,서초구,방배2동,11,5,-,1,1,3,-,1
376,2020,서초구,방배3동,7,4,-,-,1,2,-,-
377,2020,서초구,방배4동,9,2,-,-,3,4,-,-
378,2020,서초구,양재1동,27,10,-,-,7,7,1,2
379,2020,서초구,양재2동,10,6,-,-,1,2,-,1
380,2020,서초구,내곡동,15,10,-,-,1,1,-,3
381,2020,강남구,소계,199,60,-,-,52,54,1,32
382,2020,강남구,신사동,4,2,-,-,1,1,-,-
383,2020,강남구,논현1동,4,2,-,-,1,1,-,-
384,2020,강남구,논현2동,4,1,-,-,1,-,-,2
385,2020,강남구,삼성1동,8,2,-,-,1,1,-,4
386,2020,강남구,삼성2동,13,3,-,-,4,3,-,3
387,2020,강남구,대치1동,6,2,-,-,4,-,-,-
388,2020,강남구,대치4동,10,2,-,-,3,2,-,3
389,2020,강남구,역삼1동,13,1,-,-,2,1,-,9
390,2020,강남구,역삼2동,12,2,-,-,8,1,-,1
391,2020,강남구,도곡1동,6,1,-,-,2,3,-,-
392,2020,강남구,도곡2동,4,2,-,-,1,1,-,-
393,2020,강남구,개포4동,14,4,-,-,5,4,-,1
394,2020,강남구,일원본동,10,2,-,-,3,4,-,1
395,2020,강남구,일원1동,9,2,-,-,4,3,-,-
396,2020,강남구,일원2동,10,3,-,-,1,5,-,1
397,2020,강남구,수서동,10,4,-,-,3,2,-,1
398,2020,강남구,세곡동,34,14,-,-,6,13,1,-
399,2020,강남구,압구정동,5,3,-,-,-,1,-,1
400,2020,강남구,청담동,8,3,-,-,2,1,-,2
401,2020,강남구,대치2동,9,3,-,-,-,3,-,3
402,2020,강남구,개포2동,6,2,-,-,-,4,-,-
403,2020,송파구,소계,373,99,1,3,110,142,1,17
404,2020,송파구,풍납1동,7,2,-,-,3,2,-,-
405,2020,송파구,풍납2동,19,6,-,-,5,6,-,2
406,2020,송파구,거여1동,8,4,1,-,3,-,-,-
407,2020,송파구,거여2동,15,7,-,-,3,5,-,-
408,2020,송파구,마천1동,8,2,-,-,3,3,-,-
409,2020,송파구,마천2동,11,2,-,1,6,2,-,-
410,2020,송파구,방이1동,6,-,-,-,5,1,-,-
411,2020,송파구,방이2동,15,3,-,-,5,6,-,1
412,2020,송파구,오륜동,1,-,-,-,-,-,-,1
413,2020,송파구,오금동,21,6,-,-,6,9,-,-
414,2020,송파구,송파1동,13,3,-,-,4,5,-,1
415,2020,송파구,송파2동,8,1,-,-,4,3,-,-
416,2020,송파구,석촌동,16,4,-,-,10,2,-,-
417,2020,송파구,삼전동,16,2,-,1,12,1,-,-
418,2020,송파구,가락본동,16,6,-,-,4,6,-,-
419,2020,송파구,가락1동,15,9,-,-,-,5,-,1
420,2020,송파구,가락2동,21,2,-,-,14,4,-,1
421,2020,송파구,문정1동,11,2,-,-,6,3,-,-
422,2020,송파구,문정2동,13,3,-,-,1,4,-,5
